,symbol,CARD,DISC,HACK,INSD,PHYS,PORT,STAT,UNKN,IS_EFFECTIVE,MATERIAL_WEAKNESS,SIG_DEFICIENCY,IC_IS_EFFECTIVE,AUDIT_FEES,NON_AUDIT_FEES,TAX_FEES,AUDIT_RELATED_FEES,OTHER_FEES
34,CCI,0,0,1,0,0,0,0,0,11,2,0,23,27460.3,5691.06,3835.213,1845.846,10
35,CELG,0,0,0,0,0,1,0,0,12,0,2,24,49270.09,8803.485,7449.11,1199.375,155
36,CHTR,0,0,0,0,0,1,0,0,12,0,1,24,56800,3440,0,2840,600
37,CMCSA,0,1,2,0,0,0,0,0,12,0,1,24,110400,33300,9600,21400,2300
38,CME,0,0,1,0,0,0,0,0,12,0,1,24,23031.29,9787.243,7719.906,2018.974,48.363
39,CPRT,0,0,1,0,0,0,0,0,11,0,0,22,20282.27,4001.511,3199.477,788.534,13.5
40,CS,0,1,0,0,0,0,0,0,9,1,0,19,436283.2,152757.25,45035.14,107721.93,0
41,CVC,0,0,0,0,0,1,0,0,12,0,1,24,83903,28715,6589,20157,1969
42,CVS,0,2,0,1,1,0,0,0,12,0,1,24,66137.89,22443.19,7739.077,14704.119,0
43,CYH,0,0,1,0,0,0,0,0,12,0,2,24,62743,36501.25,12180.25,19788,4533
44,D,0,0,1,0,0,1,0,0,12,0,1,24,73180,14580,1740,12770,70
45,DBD,0,0,0,0,0,1,0,0,7,6,3,19,51781.21,16773.983,10505.074,6173.922,95
46,DFS,1,0,0,0,0,0,0,3,8,0,1,16,35998,10384,53,9932,399
47,DGX,0,0,0,1,0,0,0,0,12,0,0,24,37848.6,6092.704,4137.203,1595.985,359.508
48,DLTR,0,0,1,0,0,0,0,0,12,0,1,24,17051.8,1773.907,729.555,996.852,12
49,DNB,0,0,1,0,0,0,0,0,12,0,0,24,58821,9266,5245,3961,60
50,EBAY,0,0,1,0,0,0,0,0,13,0,0,26,109333,32957,4757,19046,9154
51,EFX,0,2,1,0,0,1,0,0,11,1,3,24,43317.43,11889.81,8251.636,3606.939,31.237
52,EMR,0,0,1,0,0,0,0,0,11,0,0,22,281400,54400,21700,32700,0
53,ESRX,0,1,0,0,0,0,0,1,3,0,1,6,10444.98,3690.8,476,3195.5,19.3
54,EXEL,0,0,0,0,0,1,0,0,10,0,0,24,10743.195,669.365,57,588.445,23.92
55,EZPW,0,0,0,0,1,0,0,0,11,3,4,25,11704.374,3500.996,812.273,2672.797,15.926
56,F,0,0,0,0,0,0,1,0,13,0,8,25,511200,195200,96000,88200,11000
57,FB,0,2,1,0,0,0,0,0,4,0,0,8,23588.31,20572.94,19501.2,257,814.732
58,FDX,0,1,0,0,0,0,0,0,9,0,0,22,142913,17197,5106,7965,4126
59,FEIC,0,0,0,0,0,1,0,0,12,0,2,24,20042.64,5855.334,4111.463,1740.654,3.21
60,FINL,0,0,0,0,0,1,0,0,12,0,0,24,5881.207,1840.648,1257.394,583.254,0
61,FNF,0,0,1,1,0,1,0,0,10,0,2,20,42016,7108,2231,4842,35
62,FORR,0,0,0,0,0,1,0,0,9,3,1,21,9851.449,2584.671,1798.643,377.085,408.943
63,FRP,0,0,0,0,0,1,0,0,5,3,1,13,22266.8,2194.13,1923.13,265,6
64,GCO,0,0,1,0,0,0,0,0,12,3,3,27,20860.34,7120.106,5680.418,1403.324,36.365
65,GE,0,0,0,0,0,2,0,0,13,1,1,25,1184700,330000,104300,225700,0
66,GM,0,1,0,2,0,0,0,0,6,1,2,13,273000,99000,43000,51000,5000
67,GNCMA,0,0,0,1,0,0,0,0,6,8,4,20,16634.57,1850.181,1036.442,181,383.069
68,GNW,0,1,0,0,0,0,0,0,11,1,1,23,100600,15458.51,2558.504,12500,400
69,GOOG,0,3,1,0,0,0,0,0,1,0,0,2,13820,6860,3282,3572,6
70,GPI,0,0,0,0,0,1,0,0,12,0,1,24,19752.07,2962.319,1890.134,810.224,261.961
71,GPN,1,0,0,0,0,0,0,0,11,0,2,22,27151.629,4808.204,4318.204,421,69
72,GPS,0,1,0,1,0,1,0,0,11,0,2,24,54243.63,3604.651,809.113,2461.402,334.136
73,GRPN,0,1,0,0,0,0,0,0,4,0,1,8,27457.06,4076.884,4066.894,0,9.99
74,GS,0,2,0,0,0,0,0,0,44,0,0,92,2348200,387400,100400,287000,0
75,GUID,0,0,1,0,0,0,0,0,9,0,1,18,9054.136,1070.769,971.497,99.272,0
76,H,0,0,1,0,0,0,0,0,6,0,0,12,29004.08,24699.64,15293.76,7214.745,2191.146
77,HD,0,0,1,3,0,3,0,0,12,0,0,24,57016,17699.055,3800.555,13668.5,230
78,HIG,0,0,0,0,0,1,0,0,12,0,2,24,190261.2,20786.221,3418.696,14671.726,2695.811
79,HNT,0,2,0,0,0,3,0,1,12,0,1,24,86803,24981,7250,15188,2543
80,HON,0,0,0,0,0,1,0,1,12,0,1,24,275400,88900,62000,26400,500
81,HRB,0,2,0,3,0,0,0,0,11,1,1,23,44439.77,6801.796,3465.217,3096.544,240.037
82,HSIC,0,0,0,0,0,1,0,0,12,0,7,24,56417.68,14884.387,13904.648,979.74,0
83,HTZ,0,0,0,1,0,0,0,0,9,2,2,20,103047,16032,7432,8240,360
84,HUM,0,1,0,1,1,2,0,0,13,0,3,26,65634.3,15656.763,2878.537,11210.477,1567.753
85,IBM,0,0,0,0,0,1,0,0,12,0,0,24,374600,494600,104200,381200,9200
86,INTC,0,0,1,0,0,0,0,0,11,0,0,24,182247,28293,11959,15140,1194
87,INTU,0,0,0,0,0,0,0,1,11,0,0,22,37698,8354,56,8298,0
88,JACK,0,0,0,1,0,0,0,0,11,0,0,22,11596.755,442.693,177.497,265.196,0
89,JLL,0,0,0,0,0,1,0,0,12,0,1,24,61209,22642,13428,9153,61
90,JWN,1,0,0,0,0,0,0,0,12,0,0,24,24958.5,4270.051,1221.894,3032.853,15.304
91,KBH,0,0,0,0,0,0,1,0,12,0,1,24,14234,1611,286,1325,0
92,KBR,0,0,0,0,0,1,0,0,8,2,3,20,83400,13982,11417,2504,61
93,KEY,0,1,0,0,0,1,0,0,12,0,0,24,68714,25999.32,12306.325,10964,2729
94,KND,0,0,0,0,1,0,0,0,13,0,2,26,39291.41,7668.698,264.675,6058.489,1345.534
95,KODK,0,0,0,0,0,1,0,0,10,2,0,22,141500,47750,11250,36400,100
96,LMT,0,0,2,0,0,0,0,0,12,0,1,24,194355,53020,35160,15710,2150
97,LNKD,0,0,1,0,0,0,0,0,4,0,1,8,13728,6364,6038,151,175
98,LPLA,0,1,2,0,0,1,0,0,7,0,0,14,24156.97,7955.255,2258.576,4617.846,1078.836
99,LRCX,0,0,0,0,0,1,0,0,10,0,3,22,35656.72,5330.445,375.755,4942.17,12.52
100,LXK,0,1,0,0,0,0,0,0,10,2,4,23,60419.22,5747.985,2635.56,958.42,2154
101,MAR,0,0,0,0,0,1,0,0,12,0,1,24,83380.94,23431.81,11244.395,12182.418,5
102,MDT,0,0,1,0,1,0,0,0,1,0,1,2,13335,7615,3229,4175,211
103,MET,0,0,0,0,1,0,0,0,12,0,1,24,663500,145700,40600,90500,14600
104,MGI,0,0,1,0,0,0,0,0,12,2,2,26,22213,6655,960,5490,205
105,MOH,0,1,0,0,1,0,0,0,12,0,2,24,28265.77,7974.872,4116.172,3858.698,0
106,MSFT,0,0,3,0,0,0,0,0,11,0,1,22,238208,109024,4399,101407,3218
107,MSI,0,1,0,0,0,0,1,0,12,0,4,24,135700,24600,10600,12900,700
108,MUSA,1,0,0,0,1,0,0,1,2,0,0,4,2489,617,0,375,242
109,NDAQ,0,0,1,1,0,0,0,0,12,0,2,24,61360.06,8758.373,176.1,6418.119,2164.155
110,NFLX,0,0,0,1,0,0,0,1,11,1,1,23,20969.71,4777.368,3678.788,1098.58,0
111,NLSN,0,0,0,1,0,0,0,0,6,0,0,12,45321.47,9149.05,5294,3137.05,718
112,NNI,0,0,0,0,0,1,0,0,12,0,0,24,8467.492,13681.156,2938.147,10727.398,15.6
113,NSM,0,1,0,0,0,0,0,0,3,0,1,6,14227.8,3000.1,347.595,2652.5,0
114,NUAN,0,0,0,0,0,1,0,0,10,1,5,21,36996.67,6255.199,126.234,6128.957,0
115,NVDA,0,0,2,0,0,0,0,0,12,0,0,24,38825.52,4657.709,2668.761,1872.467,116.481
116,NYT,0,0,2,0,0,0,0,0,11,1,0,23,36693.05,3119.449,2213.459,699.99,206
117,ORCL,0,0,0,0,0,0,1,0,44,0,4,88,812087.6,57170.344,29092.728,26650.72,1426.884
118,PACB,0,0,0,0,0,1,0,0,5,0,0,10,4046,17,0,11,6
119,PBI,0,0,0,0,0,1,0,0,12,0,1,24,91900,22600,11000,11400,200
120,PFE,0,1,0,2,0,3,0,0,12,0,9,24,363478,79988.2,60144.2,19844,0
121,PFG,0,0,1,0,0,0,0,0,12,0,0,24,89128.11,18881.53,3840.273,14677.95,363.3
122,PKI,0,0,1,0,0,0,0,0,12,0,1,24,42122,24709.5,17886.5,6793,30
123,PNC,1,0,0,0,0,0,0,0,13,0,1,26,189445.9,30149.315,3850.247,22893.374,3405.695
124,PRSC,0,1,1,0,0,3,0,0,12,0,2,24,15579.02,4711.493,2863.221,604.178,1244.089
125,PRU,0,1,0,1,0,0,0,0,13,0,0,26,514128,78111,21083,56902,126
126,PSA,0,0,1,0,0,0,0,0,9,0,0,18,8790,6849,6495,346,8
127,RAD,0,1,1,0,3,0,0,0,12,0,2,24,33600,6400,2400,3900,100
128,RF,0,0,0,0,0,1,0,0,12,0,0,24,57277.67,29068.873,9746.204,12213.129,7109.54
129,ROL,0,1,0,0,0,0,0,0,12,0,0,24,13668.08,801.403,592,180,29.403
130,ROST,0,0,0,0,1,0,0,0,12,0,0,24,14006,6716,3911,1501,1304
131,RSG,0,0,0,0,0,1,0,0,12,0,1,24,27193.51,5514.424,3314.891,2199.533,0
132,S,0,0,0,2,0,0,0,0,13,0,2,26,151900,67529,8792,17137,41600
133,SAIC,0,1,1,0,1,1,1,0,2,0,1,4,7294.5,1195.555,519.531,0,676.027
134,SBUX,0,0,1,0,0,2,0,0,11,0,1,22,55958,4606,2974,1568,64
135,SCOR,0,2,0,0,0,0,0,0,7,0,0,14,11488.34,1996.585,314.856,682.559,999.17
136,SEAC,0,0,0,1,0,0,0,0,13,0,0,25,13537.834,646.188,626.188,0,0
137,SEMG,0,1,0,0,0,0,0,0,5,0,1,10,11411.68,279.615,99.322,180.293,0
138,SFM,0,0,1,0,0,0,0,0,2,0,1,4,3125.83,3.6,0,0,3.6
139,SHLD,0,1,2,0,0,1,0,0,11,0,0,22,63276,23525,7993,15297,235
140,SMMF,0,1,0,0,0,0,0,0,13,0,0,25,2348.67,847.793,198.762,424,225.031
141,SMTC,0,0,0,0,0,1,0,0,11,1,3,24,20983.709,7118.563,5445.459,1409.574,263.526
142,SNE,0,0,4,0,0,0,0,0,10,0,2,20,420436.8,28861.039,1564.971,22238.801,5057.239
143,SNI,0,0,1,0,0,0,0,0,7,0,4,14,12075.23,2998.805,619.205,2379.6,0
144,SPLS,0,0,1,1,0,0,0,0,12,0,1,24,81700,23108,20934,2169,5
145,SRI,0,0,1,0,0,0,0,0,12,0,1,24,19276.66,4107.696,3839.298,117.31,151.088
146,STI,1,0,0,1,0,0,0,0,11,1,0,23,78530,30320,3830,23120,3370
147,STT,0,0,0,0,0,0,1,0,12,0,0,24,165300,163600,54900,97700,11000
148,STX,0,0,1,0,0,0,0,0,11,0,0,22,61770,12550,6782,5691,77
149,SWK,0,0,0,0,0,1,0,0,12,0,3,24,105829.25,58737.57,50549.4,8022.716,165.456
150,SYMC,0,0,1,1,0,0,0,0,10,1,2,23,98292.78,10088.449,3026.654,4744.721,2317.076
151,T,0,1,1,4,0,2,0,0,12,0,1,24,265700,100900,66200,34300,400
152,TGT,0,0,1,0,0,0,0,0,11,0,1,24,47811,29309,23609,5133,567
153,THC,0,0,0,1,0,0,0,0,12,0,2,24,46958.68,29228.38,717.401,25713.53,2797.449
154,TRI,0,0,0,1,0,0,0,0,6,0,2,20,207800,156800,78400,71800,6600
155,TRIP,0,0,1,0,0,0,0,0,5,0,2,10,7046.87,25.645,9.45,0,16.195
156,TTEC,0,0,0,0,0,0,0,1,10,2,2,22,32060.25,5027.401,885.14,1553.261,2589
157,TWTR,0,0,3,0,0,0,0,0,2,0,0,4,9188,3454,2170,1240,44
158,TWX,0,0,0,0,0,1,0,0,12,0,3,24,249358,61434,26083,35191,160
159,TXT,0,0,0,0,0,1,0,0,12,0,0,24,108346,21292,5820,15472,0
160,UBNT,0,0,1,0,0,0,0,0,2,1,0,5,3900,986.801,429,402.6,155.201
161,UNH,0,3,0,2,3,1,0,1,12,0,3,24,223460,55475,10702,41669,3104
162,UNP,0,0,0,0,0,1,0,0,12,0,0,24,31760.97,9221.632,1639.01,7573.027,9.592
163,VRSN,0,0,1,0,0,1,0,0,10,2,0,22,39763.56,17454.359,2803.182,14620.682,30.5
164,VZ,0,0,0,0,0,1,0,0,12,0,3,24,281200,127800,46200,72900,8700
165,WASH,0,0,1,0,0,0,0,0,12,0,1,24,7273.2,883.733,649.66,66.5,167.573
166,WCC,1,0,0,0,0,0,0,0,12,0,3,24,18732.17,8958.613,7995.713,954.5,8.4
167,WCG,0,2,0,0,0,0,0,0,9,1,2,21,40279.39,799.379,0,722.07,77.309
168,WEN,0,0,1,1,0,0,0,0,12,0,2,24,34711.7,12341.227,1504.373,9865.615,971.237
169,WIN,0,0,0,1,0,0,0,0,9,0,3,18,30558.08,3037.278,1639.018,1322,76.26
170,WM,0,0,0,1,0,1,0,0,12,0,0,24,85500,16600,600,16000,0
171,WU,0,0,1,0,0,0,0,0,9,0,4,18,43500,10500,4800,5700,0
172,WY,0,0,0,0,1,0,0,0,12,0,1,24,93111.15,8565.2,802.7,7762.5,0
173,XRX,0,0,0,0,0,1,0,0,12,0,1,24,260100,39300,14200,23800,1300
174,YHOO,0,0,1,0,0,0,0,0,12,0,0,24,86000,25800,17800,8000,0
175,AA,0,0,0,0,0,0,0,0,13,0,0,26,178800,18100,6900,9900,1300
176,AAL,0,0,0,0,0,0,0,0,12,0,3,24,38970,17669,4893,12776,0
177,AAON,0,0,0,0,0,0,0,0,10,2,0,22,4586.712,209.345,0,209.345,0
178,AAT,0,0,0,0,0,0,0,0,5,0,0,10,4626.734,947.632,859.007,88.625,0
179,AB,0,0,0,0,0,0,0,0,12,0,1,24,66194,52605,22590,29884,131
180,ABAX,0,0,0,0,0,0,0,0,12,0,1,23,7450,280,11,201,68
181,ABBV,0,0,0,0,0,0,0,0,3,0,2,6,29700,19200,16900,500,1800
182,ABC,0,0,0,0,0,0,0,0,11,0,3,22,50504.25,20047.957,10534.632,9481.35,31.97
183,ABCB,0,0,0,0,0,0,0,0,12,0,0,24,5280.146,574.935,347.775,227.16,0
184,ABCD,0,0,0,0,0,0,0,0,3,0,0,6,1361.636,60.842,0,54.1,6.742
185,ABCO,0,0,0,0,0,0,0,0,11,1,1,23,8206.173,1736.968,1289.896,427.072,20
186,ABG,0,0,0,0,0,0,0,0,13,0,8,26,25032.54,571.36,190.21,85.65,295.5
187,ABMD,0,0,0,0,0,0,0,0,12,0,0,24,8246.156,1532.202,1289.796,242.406,0
188,ABR,0,0,0,0,0,0,0,0,11,0,1,22,15743.804,3214.182,567.403,2646.781,0
189,ABT,0,0,0,0,0,0,0,0,13,0,1,26,196456,43881.92,19265.92,21908,2708
190,ABTL,0,0,0,0,0,0,0,0,5,3,2,13,8467.79,1605.15,436.394,1052.911,115.845
191,ACAD,0,0,0,0,0,0,0,0,10,0,0,20,5134,433,415,0,18
192,ACAS,0,0,0,0,0,0,0,0,12,0,1,24,42203.1,6603.632,932.208,3577.056,2094.372
193,ACAT,0,0,0,0,0,0,0,0,11,1,1,23,5100,3582.5,2628,175.5,779
194,ACC,0,0,0,0,0,0,0,0,11,0,1,22,10593.95,873.572,165,702.572,6
195,ACET,0,0,0,0,0,0,0,0,11,0,3,22,10768,1264,980,272,12
196,ACGL,0,0,0,0,0,0,0,0,12,0,0,24,56431.27,10363.969,6879.671,2610.697,873.607
197,ACHC,0,0,0,0,0,0,0,0,4,0,0,8,8422.23,4386.747,3499.702,847.039,40
198,ACHN,0,0,0,0,0,0,0,0,7,0,0,14,3233.752,264.908,207.95,44.838,12.12
199,ACIW,0,0,0,0,0,0,0,0,8,3,5,19,35521.49,3920.501,3318.516,591.985,10
200,ACLS,0,0,0,0,0,0,0,0,12,0,0,24,19720.8,3589.86,3257.78,321.254,10.826
201,ACM,0,0,0,0,0,0,0,0,7,0,1,16,52556.55,22666.83,17592.4,5064.438,10
202,ACN,0,0,0,0,0,0,0,0,7,0,0,14,98805,16138,4808,9881,1449
203,ACNB,0,0,0,0,0,0,0,0,11,1,0,23,1749.957,367.17,283.669,13.9,69.601
204,ACOR,0,0,0,0,0,0,0,0,9,0,1,18,7468.983,1377.763,1180.163,193.6,4
205,ACPW,0,0,0,0,0,0,0,0,9,2,1,20,3914.596,839.171,161.156,258.583,419.432
206,ACRX,0,0,0,0,0,0,0,0,3,0,0,6,1969.739,0,0,0,0
207,ACTG,0,0,0,0,0,0,0,0,11,1,0,23,8024,3094.7,2646,448.7,0
208,ACTS,0,0,0,0,0,0,0,0,9,0,0,18,5266,54,20,34,0
209,ACUR,0,0,0,0,0,0,0,0,2,0,0,4,249.864,242.932,242.932,0,0
210,ACW,0,0,0,0,0,0,0,0,9,0,0,18,14404,5477,2874,477,2126
211,ACXM,0,0,0,0,0,0,0,0,11,1,0,23,27009.43,10317.769,2427.023,6108.748,1782
212,ADC,0,0,0,0,0,0,0,0,8,5,0,21,1680.727,291.23,55.7,220.03,15.5
213,ADI,0,0,0,0,0,0,0,0,11,0,1,22,27709,12654,9765,2889,0
214,ADM,0,0,0,0,0,0,0,0,12,0,1,24,163766,19569,11561,8008,0
215,ADS,0,0,0,0,0,0,0,0,12,0,7,24,39703.86,15823.991,8280.767,6014.403,1528.8
216,ADSK,0,0,0,0,0,0,0,0,11,1,2,23,41913.21,10731.57,8661.03,815.54,1255
217,ADTN,0,0,0,0,0,0,0,0,12,0,0,24,11224.941,1137.747,370.667,765.58,1.5
218,ADUS,0,0,0,0,0,0,0,0,1,2,1,4,1545,77,0,67,10
219,ADXS,0,0,0,0,0,0,0,0,1,0,0,2,165.975,87.666,15.147,0,72.519
220,AEE,0,0,0,0,0,0,0,0,11,0,0,24,37441.86,10623.168,1161.642,8262.544,634.485
221,AEGN,0,0,0,0,0,0,0,0,12,0,3,24,19455.395,6251.124,2016.85,4234.274,0
222,AEGR,0,0,0,0,0,0,0,0,4,1,0,9,5325.883,1626.254,1165.254,461,0
223,AEIS,0,0,0,0,0,0,0,0,11,1,5,23,14633.786,589.389,0,267.389,322
224,AEL,0,0,0,0,0,0,0,0,9,3,1,21,16150.43,1736.54,57.233,1555.473,123.834
225,AEO,0,0,0,0,0,0,0,0,11,1,1,23,13644.028,2606.637,2325.492,273.145,8
226,AEP,0,0,0,0,0,0,0,0,12,0,0,24,144851,26737.61,14623,12114.61,0
227,AEPI,0,0,0,0,0,0,0,0,10,1,3,21,15886.79,787.347,353.391,433.956,0
228,AER,0,0,0,0,0,0,0,0,9,0,1,18,33907.3,3748,1836,1186,726
229,AES,0,0,0,0,0,0,0,0,8,6,2,22,254492.1,17050.374,8460.533,8410.652,179.186
230,AET,0,0,0,0,0,0,0,0,12,0,0,24,119141.2,14683.4,1874.1,10780.4,175.9
231,AF,0,0,0,0,0,0,0,0,12,0,0,24,13356.78,1665.763,409.063,1256.7,0
232,AFAM,0,0,0,0,0,0,0,0,9,0,0,18,5626,2148.6,1812.6,336,0
233,AFG,0,0,0,0,0,0,0,0,12,0,3,24,70579,3978,1557,1491,930
234,AFH,0,0,0,0,0,0,0,0,2,0,0,4,826.01,0,0,0,0
235,AFSI,0,0,0,0,0,0,0,0,9,0,3,18,29554.72,2427.481,749.762,1677.719,0
236,AGCO,0,0,0,0,0,0,0,0,12,0,1,24,73540,8048,602,2267,5093
237,AGEN,0,0,0,0,0,0,0,0,12,0,1,24,6704.624,513.389,192.252,0,0
238,AGII,0,0,0,0,0,0,0,0,12,0,0,24,30034.723,6538.727,4813.698,1167.234,557.799
239,AGIO,0,0,0,0,0,0,0,0,2,0,0,4,1858.34,82.43,78.45,0,3.98
240,AGM,0,0,0,0,0,0,0,0,14,0,1,26,18313.87,3530.015,898.721,2566.556,64.738
241,AGN,0,0,0,0,0,0,0,0,2,1,2,5,68619,44633,19025,19706,5902
242,AGNC,0,0,0,0,0,0,0,0,8,0,0,16,8045.54,376.658,376.658,0,0
243,AGO,0,0,0,0,0,0,0,0,11,0,2,22,46534.13,8371.708,3050.989,1727.035,3593.688
244,AGX,0,0,0,0,0,0,0,0,6,0,1,12,3906.5,449.135,345.16,103.975,0
245,AGYS,0,0,0,0,0,0,0,0,10,5,6,25,16176.292,2615.824,1067.031,1227.513,321.28
246,AHC,0,0,0,0,0,0,0,0,6,0,2,12,4251.714,1686.893,503.393,867.5,316
247,AHGP,0,0,0,0,0,0,0,0,9,0,1,18,1244,606,574,32,0
248,AHL,0,0,0,0,0,0,0,0,12,0,0,24,30052.4,4130.3,341,3390.3,399
249,AHS,0,0,0,0,0,0,0,0,12,0,3,24,17544.39,2845.588,2296.705,59.928,488.955
250,AHT,0,0,0,0,0,0,0,0,14,0,2,26,15407.172,10424.377,4510.349,5740.287,173.743
251,AIMC,0,0,0,0,0,0,0,0,9,0,2,18,18349,2881,1065,740,1076
252,AIN,0,0,0,0,0,0,0,0,12,0,1,24,32453.95,7348.574,4128.598,2354.56,865.413
253,AINV,0,0,0,0,0,0,0,0,11,0,0,22,7534.124,2031.465,304.92,1726.545,0
254,AIR,0,0,0,0,0,0,0,0,11,0,2,22,16594.36,4488.51,3071.329,1305.281,111.9
255,AIRM,0,0,0,0,0,0,0,0,13,2,5,28,10241.954,671.67,122.847,451.572,97.251
256,AIT,0,0,0,0,0,0,0,0,11,0,3,22,13831.44,5772.9,4993.2,744.6,35.1
257,AIV,0,0,0,0,0,0,0,0,12,0,0,24,49890,31300,27430,3820,20
258,AIZ,0,0,0,0,0,0,0,0,12,0,1,22,145794,12132,1693,7122,3317
259,AJG,0,0,0,0,0,0,0,0,12,0,0,24,31509,34499,24846,9575,78
260,AKAM,0,0,0,0,0,0,0,0,12,0,0,24,24908,6497,1998,3394,1105
261,AKR,0,0,0,0,0,0,0,0,12,0,0,24,10304.801,2858.827,2293.01,281,284.817
262,AKS,0,0,0,0,0,0,0,0,12,0,1,24,31702.44,14442.91,9944.309,4183.6,315
263,AL,0,0,0,0,0,0,0,0,4,0,0,8,4705.28,1106.194,355.536,750.658,0
264,ALB,0,0,0,0,0,0,0,0,12,0,0,24,41146.89,12257.92,6195.478,5930.504,131.938
265,ALCO,0,0,0,0,0,0,0,0,9,2,1,20,3779.377,992.723,810.733,176.99,5
266,ALDR,0,0,0,0,0,0,0,0,1,0,0,2,660,0,0,0,0
267,ALDW,0,0,0,0,0,0,0,0,3,0,0,6,1100,0,0,0,0
268,ALE,0,0,0,0,0,0,0,0,12,0,3,24,16907.6,3671.196,2696.033,854.036,121.127
269,ALEX,0,0,0,0,0,0,0,0,3,1,2,7,7640,1034,219,815,0
270,ALG,0,0,0,0,0,0,0,0,11,0,1,24,13365.24,4029.932,2965.556,1064.376,0
271,ALGN,0,0,0,0,0,0,0,0,12,0,2,24,17567.296,7590.943,5060.382,2504.691,25.873
272,ALGT,0,0,0,0,0,0,0,0,9,0,0,18,5541,787,736,0,51
273,ALIM,0,0,0,0,0,0,0,0,2,0,0,4,1039.692,296.667,296.667,0,0
274,ALJ,0,0,0,0,0,0,0,0,10,0,1,20,14276.87,5046.58,144.98,4752.7,148.9
275,ALK,0,0,0,0,0,0,0,0,12,0,0,24,13632.23,2516.683,340.349,1888.285,288.049
276,ALKS,0,0,0,0,0,0,0,0,5,0,0,10,6894.9,5654.406,2925.115,2714.073,15.22
277,ALL,0,0,0,0,0,0,0,0,12,0,0,24,109978.93,12607.5,1183.775,11067.36,356.363
278,ALLE,0,0,0,0,0,0,0,0,2,0,1,4,5905,3190.76,2877.56,258.2,55
279,ALLT,0,0,0,0,0,0,0,0,7,0,1,14,2008,1027,530,326,171
