"","customer_no","invoice_no","invoice_date","sku","sales_count","cash_not_ar","sales_return","unit_cost","sales_unit_price","sales_extended","collection_amount","collection_date","collection_no","shipper_date","shipper_no"
"15","c00007","i00015",2020-01-05,"JQWPP",17,0,0,27,81,1377,1377,2020-03-17,"r00092",2020-01-14,"s00014"
"16","c00008","i00016",2020-01-05,"GEXDT",15,0,0,36,108,1620,1620,2020-04-03,"r00135",2020-01-27,"s00045"
"17","c00006","i00019",2020-01-06,"JRVPC",22,0,0,27,27,594,594,2020-05-10,"r00217",2020-01-06,"s00004"
"18","c00005","i00018",2020-01-06,"SSBIT",17,0,0,34,68,1156,1156,2020-02-26,"r00062",2020-01-14,"s00015"
"19","c00007","i00017",2020-01-06,"TQLMI",15,0,0,42,42,630,630,2020-01-29,"r00022",2020-01-16,"s00018"
"20","c00004","i00020",2020-01-07,"GEXDT",18,1,0,30,90,1620,1620,2020-01-07,"r00006",2020-01-09,"s00006"
"21","c00008","i00022",2020-01-07,"SLNEL",14,0,0,36,36,504,504,2020-05-08,"r00213",2020-01-10,"s00008"
"22","c00009","i00023",2020-01-07,"JQWPP",20,0,0,24,72,1440,1440,2020-04-13,"r00157",2020-01-17,"s00021"
"23","c00008","i00021",2020-01-07,"QWBPM",12,0,0,35,105,1260,1260,2020-03-19,"r00096",2020-01-18,"s00023"
"24","c00007","i00025",2020-01-09,"SSBIT",16,0,0,27,81,1296,1296,2020-03-08,"r00078",2020-01-22,"s00030"
"25","c00004","i00024",2020-01-09,"JRVPC",14,0,0,33,66,924,924,2020-02-26,"r00063",2020-01-28,"s00052"
"27","c00008","i00028",2020-01-10,"GEXDT",11,1,0,34,68,748,748,2020-01-10,"r00009",2020-01-14,"s00016"
"28","c00002","i00027",2020-01-10,"TQLMI",12,0,0,42,42,504,504,2020-05-03,"r00204",2020-01-25,"s00040"
"29","c00009","i00031",2020-01-11,"WBOEC",19,0,1,35,105,1995,1995,2020-02-03,"r00025",2020-01-21,"s00029"
"30","c00007","i00030",2020-01-11,"ETKQW",15,0,0,30,90,1350,1350,2020-07-03,"r00358",2020-01-26,"s00042"
"31","c00005","i00029",2020-01-11,"JQWPP",20,0,0,27,27,540,540,2020-06-22,"r00331",2020-02-03,"s00071"
"33","c00004","i00035",2020-01-12,"JQWPP",17,0,0,27,81,1377,1377,2020-03-24,"r00111",2020-01-16,"s00019"
"34","c00005","i00033",2020-01-12,"ETKQW",15,0,0,24,72,1080,1080,2020-02-03,"r00026",2020-01-17,"s00022"
"35","c00005","i00037",2020-01-12,"SSBIT",16,0,0,42,42,672,672,2020-03-22,"r00106",2020-01-18,"s00024"
"36","c00009","i00032",2020-01-12,"TQLMI",9,0,0,36,36,324,324,2020-03-16,"r00091",2020-01-23,"s00032"
"37","c00007","i00034",2020-01-12,"ETKQW",11,1,0,33,66,726,726,2020-01-12,"r00010",2020-02-23,"s00117"
"38","c00005","i00040",2020-01-13,"ZUBSA",18,0,0,30,90,1620,1620,2020-02-19,"r00048",2020-01-15,"s00017"
"39","c00007","i00038",2020-01-13,"JQWPP",16,0,0,34,68,1088,1088,2020-03-07,"r00077",2020-01-23,"s00033"
"40","c00008","i00039",2020-01-13,"SSBIT",11,0,0,27,27,297,297,2020-05-18,"r00241",2020-01-31,"s00062"
"41","c00004","i00043",2020-01-14,"ETKQW",8,0,0,24,72,576,576,2020-09-16,"r00550",2020-01-16,"s00020"
"42","c00003","i00042",2020-01-14,"ETKQW",17,0,0,36,36,612,612,2020-08-16,"r00465",2020-01-24,"s00036"
"43","c00004","i00041",2020-01-14,"ETKQW",20,0,1,35,105,2100,2100,2020-04-24,"r00179",2020-01-27,"s00046"
"44","c00008","i00044",2020-01-15,"ZUBSA",14,0,0,33,66,924,924,2020-04-04,"r00138",2020-01-18,"s00025"
"45","c00008","i00045",2020-01-16,"WBOEC",13,1,0,27,81,1053,1053,2020-01-16,"r00011",2020-01-19,"s00027"
"46","c00009","i00046",2020-01-16,"ZUBSA",10,0,0,36,108,1080,1080,2020-02-03,"r00027",2020-01-23,"s00034"
"47","c00007","i00047",2020-01-16,"SLNEL",16,0,0,42,42,672,672,2020-10-01,"r00591",2020-01-25,"s00041"
"49","c00005","i00049",2020-01-17,"JRVPC",15,0,0,27,27,405,405,2020-02-25,"r00059",2020-01-24,"s00037"
"50","c00009","i00050",2020-01-17,"SSBIT",16,0,0,30,90,1440,1440,2020-02-18,"r00045",2020-03-09,"s00157"
"51","c00010","i00052",2020-01-18,"SLNEL",17,0,0,36,36,612,612,2020-04-09,"r00148",2020-01-22,"s00031"
"52","c00007","i00051",2020-01-18,"JQWPP",9,0,0,35,105,945,945,2020-02-08,"r00034",2020-02-05,"s00077"
"53","c00001","i00053",2020-01-19,"WBOEC",18,1,0,24,72,1296,1296,2020-01-19,"r00012",2020-01-29,"s00055"
"54","c00009","i00055",2020-01-20,"ETKQW",15,1,0,27,81,1215,1215,2020-01-20,"r00013",2020-01-26,"s00043"
"55","c00008","i00054",2020-01-20,"GEXDT",11,0,0,33,66,726,726,2020-04-22,"r00173",2020-01-28,"s00053"
"57","c00009","i00057",2020-01-21,"TQLMI",13,0,0,42,42,546,546,2020-02-17,"r00043",2020-03-01,"s00134"
"58","c00006","i00060",2020-01-22,"TQLMI",9,0,0,30,90,810,810,2020-02-12,"r00040",2020-01-24,"s00038"
"59","c00007","i00059",2020-01-22,"ZUBSA",12,1,0,27,27,324,324,2020-01-22,"r00014",2020-01-29,"s00056"
"60","c00010","i00058",2020-01-22,"SSBIT",14,0,0,34,68,952,952,2020-02-07,"r00032",2020-02-02,"s00067"
"61","c00009","i00061",2020-01-23,"TQLMI",13,0,0,35,105,1365,1365,2020-01-23,"r00015",2020-01-23,"s00035"
"62","c00009","i00063",2020-01-24,"SSBIT",19,0,0,24,72,1368,1368,2020-04-23,"r00176",2020-01-26,"s00044"
"63","c00004","i00064",2020-01-24,"JRVPC",23,1,0,33,66,1518,1518,2020-01-24,"r00017",2020-01-27,"s00047"
"64","c00005","i00062",2020-01-24,"WBOEC",12,0,0,36,36,432,432,2020-05-04,"r00206",2020-02-16,"s00105"
"65","c00009","i00067",2020-01-25,"ZUBSA",15,0,0,42,42,630,630,2020-03-25,"r00112",2020-01-27,"s00048"
"66","c00008","i00066",2020-01-25,"GEXDT",13,0,0,36,108,1404,1404,2020-02-11,"r00038",2020-02-03,"s00072"
"67","c00007","i00065",2020-01-25,"ZUBSA",10,0,0,27,81,810,810,2020-02-22,"r00053",2020-02-03,"s00073"
"68","c00004","i00070",2020-01-26,"QWBPM",17,0,0,30,90,1530,1530,2020-02-03,"r00028",2020-01-27,"s00049"
"69","c00007","i00072",2020-01-26,"JQWPP",17,0,0,36,36,612,612,2020-02-02,"r00024",2020-01-28,"s00054"
"70","c00004","i00073",2020-01-26,"ZUBSA",7,0,0,24,72,504,504,2020-04-16,"r00162",2020-01-29,"s00057"
"71","c00005","i00071",2020-01-26,"JQWPP",11,0,0,35,105,1155,1155,2020-03-09,"r00080",2020-01-31,"s00063"
"72","c00007","i00069",2020-01-26,"TQLMI",20,0,0,27,27,540,540,2020-05-08,"r00214",2020-01-31,"s00064"
"73","c00003","i00068",2020-01-26,"SLNEL",13,1,0,34,68,884,884,2020-01-26,"r00019",2020-02-14,"s00097"
"74","c00007","i00076",2020-01-28,"GEXDT",20,0,0,36,108,2160,2160,2020-03-01,"r00067",2020-01-29,"s00058"
"75","c00008","i00077",2020-01-28,"JRVPC",21,0,1,42,42,882,882,2020-02-17,"r00044",2020-01-30,"s00061"
"76","c00008","i00075",2020-01-28,"SLNEL",20,0,0,27,81,1620,1620,2020-02-24,"r00056",2020-02-01,"s00065"
"77","c00006","i00074",2020-01-28,"WBOEC",11,1,0,33,66,726,726,2020-01-28,"r00021",2020-02-02,"s00068"
"78","c00005","i00079",2020-01-29,"JQWPP",16,0,0,27,27,432,432,2020-03-31,"r00126",2020-01-29,"s00059"
"79","c00004","i00080",2020-01-29,"GEXDT",18,0,0,30,90,1620,1620,2020-02-14,"r00041",2020-02-06,"s00080"
"80","c00004","i00078",2020-01-29,"SSBIT",16,0,0,34,68,1088,1088,2020-05-13,"r00229",2020-02-10,"s00089"
"81","c00005","i00086",2020-01-30,"JQWPP",16,0,0,36,108,1728,1728,2020-05-15,"r00234",2020-02-02,"s00069"
"82","c00009","i00081",2020-01-30,"ETKQW",19,0,0,35,105,1995,1995,2020-04-01,"r00128",2020-02-05,"s00078"
"83","c00009","i00085",2020-01-30,"QWBPM",9,0,0,27,81,729,729,2020-03-23,"r00108",2020-02-06,"s00081"
"84","c00003","i00082",2020-01-30,"SLNEL",16,0,0,36,36,576,576,2020-04-28,"r00193",2020-02-07,"s00083"
"86","c00009","i00083",2020-01-30,"JQWPP",11,0,0,24,72,792,792,2020-06-15,"r00313",2020-02-21,"s00113"
"87","c00008","i00088",2020-01-31,"TQLMI",16,0,0,34,68,1088,1088,2020-04-06,"r00143",2020-02-02,"s00070"
"88","c00009","i00087",2020-01-31,"ZUBSA",24,0,0,42,42,1008,1008,2020-04-15,"r00161",2020-02-04,"s00075"
"89","c00007","i00090",2020-02-01,"QWBPM",16,1,0,30,90,1440,1440,2020-02-01,"r00023",2020-02-01,"s00066"
"90","c00003","i00091",2020-02-01,"SSBIT",15,0,0,35,105,1575,1575,2020-04-09,"r00149",2020-02-04,"s00076"
"91","c00005","i00089",2020-02-01,"GEXDT",9,0,0,27,27,243,243,2020-05-06,"r00209",2020-02-14,"s00098"
"92","c00005","i00092",2020-02-02,"QWBPM",19,0,0,36,36,684,684,2020-06-03,"r00284",2020-02-14,"s00099"
"93","c00008","i00094",2020-02-03,"JRVPC",18,0,0,33,66,1188,1188,2020-03-02,"r00070",2020-02-03,"s00074"
"94","c00008","i00095",2020-02-03,"SSBIT",22,0,0,27,81,1782,1782,2020-04-24,"r00180",2020-02-05,"s00079"
"95","c00007","i00093",2020-02-03,"ETKQW",10,0,0,24,72,720,720,2020-07-08,"r00375",2020-02-06,"s00082"
"96","c00005","i00096",2020-02-04,"SLNEL",28,1,1,36,108,3024,3024,2020-02-04,"r00029",2020-02-11,"s00091"
"97","c00007","i00097",2020-02-04,"TQLMI",11,0,0,42,42,462,462,2020-03-09,"r00081",2020-02-16,"s00106"
"98","c00008","i00098",2020-02-05,"TQLMI",10,0,0,34,68,680,680,2020-02-21,"r00051",2020-02-08,"s00084"
"99","c00010","i00099",2020-02-05,"WBOEC",13,0,0,27,27,351,351,2020-03-01,"r00068",2020-02-08,"s00085"
"100","c00005","i00100",2020-02-05,"SLNEL",23,0,0,30,90,2070,2070,2020-03-18,"r00094",2020-02-12,"s00092"
"101","c00007","i00103",2020-02-06,"TQLMI",23,1,0,24,72,1656,1656,2020-02-06,"r00031",2020-02-09,"s00087"
"102","c00008","i00101",2020-02-06,"SLNEL",13,1,0,35,105,1365,1365,2020-02-06,"r00030",2020-02-10,"s00090"
"103","c00007","i00102",2020-02-06,"SSBIT",21,0,0,36,36,756,756,2020-05-22,"r00248",2020-03-16,"s00179"
"104","c00007","i00104",2020-02-07,"JRVPC",20,0,0,33,66,1320,1320,2020-02-21,"r00052",2020-02-08,"s00086"
"105","c00008","i00105",2020-02-07,"ZUBSA",14,1,0,27,81,1134,1134,2020-02-07,"r00033",2020-02-14,"s00100"
"106","c00008","i00108",2020-02-08,"JRVPC",11,0,0,34,68,748,748,2020-03-05,"r00074",2020-02-13,"s00094"
"107","c00008","i00106",2020-02-08,"JRVPC",18,0,0,36,108,1944,1944,2020-08-16,"r00466",2020-02-19,"s00110"
"108","c00007","i00107",2020-02-08,"JQWPP",27,0,0,42,42,1134,1134,2020-04-01,"r00129",2020-03-14,"s00173"
"110","c00003","i00110",2020-02-09,"QWBPM",18,0,0,30,90,1620,1620,2020-04-26,"r00183",2020-03-02,"s00139"
"111","c00010","i00111",2020-02-09,"TQLMI",15,0,0,35,105,1575,1575,2020-04-12,"r00155",2020-03-07,"s00149"
"112","c00005","i00112",2020-02-10,"TQLMI",15,1,0,36,36,540,540,2020-02-10,"r00036",2020-02-13,"s00095"
"114","c00009","i00113",2020-02-10,"QWBPM",17,0,0,24,72,1224,1224,2020-08-22,"r00482",2020-02-15,"s00104"
"115","c00009","i00117",2020-02-11,"TQLMI",4,0,0,42,42,168,168,2020-07-15,"r00391",2020-02-12,"s00093"
"116","c00006","i00115",2020-02-11,"SLNEL",8,0,0,27,81,648,648,2020-06-10,"r00303",2020-02-13,"s00096"
"117","c00007","i00116",2020-02-11,"ETKQW",19,1,0,36,108,2052,2052,2020-02-11,"r00039",2020-02-22,"s00115"
"118","c00010","i00118",2020-02-12,"JQWPP",10,0,0,34,68,680,680,2020-03-23,"r00109",2020-02-19,"s00111"
"119","c00006","i00119",2020-02-13,"ETKQW",13,0,0,27,27,351,351,2020-03-15,"r00090",2020-02-17,"s00107"
"121","c00008","i00121",2020-02-14,"JRVPC",14,0,0,35,105,1470,1470,2020-04-27,"r00188",2020-02-19,"s00112"
"122","c00009","i00122",2020-02-14,"SLNEL",19,0,0,36,36,684,684,2020-05-28,"r00266",2020-02-25,"s00124"
"123","c00008","i00123",2020-02-14,"GEXDT",14,0,0,24,72,1008,1008,2020-04-08,"r00144",2020-03-09,"s00158"
"124","c00005","i00124",2020-02-16,"JRVPC",20,0,0,33,66,1320,1320,2020-05-10,"r00218",2020-02-17,"s00108"
"125","c00009","i00125",2020-02-16,"JRVPC",10,0,0,27,81,810,810,2020-03-11,"r00084",2020-03-08,"s00154"
"126","c00005","i00126",2020-02-17,"SLNEL",18,0,0,36,108,1944,1944,2020-03-14,"r00087",2020-02-25,"s00125"
"127","c00009","i00127",2020-02-18,"ZUBSA",18,1,0,42,42,756,756,2020-02-18,"r00046",2020-02-23,"s00118"
"128","c00006","i00130",2020-02-18,"JRVPC",16,0,0,30,90,1440,1440,2020-04-01,"r00130",2020-02-26,"s00127"
"129","c00007","i00131",2020-02-18,"QWBPM",17,0,1,35,105,1785,1785,2020-05-12,"r00224",2020-02-28,"s00131"
"130","c00009","i00128",2020-02-18,"GEXDT",13,0,0,34,68,884,884,2020-10-22,"r00642",2020-04-02,"s00228"
"131","c00005","i00129",2020-02-18,"ETKQW",15,1,0,27,27,405,405,2020-02-18,"r00047",2020-04-27,"s00297"
"132","c00003","i00134",2020-02-19,"TQLMI",16,1,0,33,66,1056,1056,2020-02-19,"r00049",2020-02-27,"s00128"
"133","c00009","i00133",2020-02-19,"JQWPP",10,0,0,24,72,720,720,2020-04-14,"r00158",2020-02-28,"s00132"
"134","c00003","i00135",2020-02-19,"JQWPP",6,0,0,27,81,486,486,2020-03-14,"r00088",2020-03-22,"s00193"
"135","c00009","i00132",2020-02-19,"SSBIT",11,0,0,36,36,396,396,2020-03-06,"r00075",2020-03-31,"s00220"
"136","c00006","i00137",2020-02-20,"JQWPP",26,0,0,42,42,1092,1092,2020-03-04,"r00072",2020-02-22,"s00116"
"137","c00008","i00136",2020-02-20,"SSBIT",21,1,0,36,108,2268,2268,2020-02-20,"r00050",2020-02-24,"s00121"
"138","c00007","i00138",2020-02-20,"JQWPP",13,0,0,34,68,884,884,2020-04-03,"r00136",2020-03-01,"s00135"
"139","c00008","i00140",2020-02-21,"JQWPP",21,0,0,30,90,1890,1890,2020-08-19,"r00477",2020-02-27,"s00129"
"140","c00003","i00139",2020-02-21,"GEXDT",11,0,0,27,27,297,297,2020-03-30,"r00123",2020-03-12,"s00167"
"141","c00003","i00143",2020-02-22,"GEXDT",11,0,0,24,72,792,792,2020-03-04,"r00073",2020-02-23,"s00119"
"142","c00010","i00142",2020-02-22,"WBOEC",20,0,0,36,36,720,720,2020-04-19,"r00165",2020-02-24,"s00122"
"143","c00002","i00141",2020-02-22,"TQLMI",15,0,0,35,105,1575,1575,2020-05-24,"r00252",2020-02-24,"s00123"
"144","c00003","i00144",2020-02-22,"SSBIT",20,1,0,33,66,1320,1320,2020-02-22,"r00054",2020-03-06,"s00146"
"145","c00008","i00145",2020-02-23,"TQLMI",6,1,0,27,81,486,486,2020-02-23,"r00055",2020-02-23,"s00120"
"146","c00005","i00147",2020-02-23,"ZUBSA",11,0,0,42,42,462,462,2021-01-16,"r00866",2020-03-01,"s00136"
"147","c00005","i00146",2020-02-23,"GEXDT",12,0,0,36,108,1296,1296,2020-03-27,"r00116",2020-03-02,"s00140"
"148","c00009","i00149",2020-02-24,"SLNEL",17,0,0,27,27,459,459,2020-06-04,"r00286",2020-02-25,"s00126"
"149","c00010","i00150",2020-02-24,"JQWPP",18,0,0,30,90,1620,1620,2020-05-27,"r00260",2020-03-03,"s00142"
"150","c00009","i00151",2020-02-24,"SLNEL",9,1,0,35,105,945,945,2020-02-24,"r00057",2020-03-07,"s00150"
"151","c00005","i00148",2020-02-24,"JRVPC",16,0,0,34,68,1088,1088,2020-09-08,"r00526",2020-03-09,"s00159"
"152","c00004","i00152",2020-02-25,"TQLMI",16,0,0,36,36,576,576,2020-05-29,"r00268",2020-02-27,"s00130"
"153","c00005","i00154",2020-02-25,"JQWPP",12,1,1,33,66,792,792,2020-02-25,"r00061",2020-03-03,"s00143"
"154","c00008","i00153",2020-02-25,"QWBPM",19,1,0,24,72,1368,1368,2020-02-25,"r00060",2020-03-14,"s00174"
"155","c00001","i00155",2020-02-27,"TQLMI",15,1,0,27,81,1215,1215,2020-02-27,"r00064",2020-03-01,"s00137"
"156","c00009","i00156",2020-02-27,"ZUBSA",15,0,1,36,108,1620,1620,2020-05-20,"r00245",2020-03-02,"s00141"
"157","c00005","i00157",2020-02-28,"WBOEC",10,0,0,42,42,420,420,2020-04-19,"r00166",2020-02-29,"s00133"
"158","c00005","i00158",2020-02-28,"ZUBSA",11,0,0,34,68,748,748,2020-03-19,"r00097",2020-03-03,"s00144"
"159","c00006","i00159",2020-02-28,"GEXDT",16,0,0,27,27,432,432,2020-04-02,"r00131",2020-03-06,"s00147"
"160","c00005","i00162",2020-02-29,"ZUBSA",17,0,0,36,36,612,612,2020-04-26,"r00184",2020-03-01,"s00138"
"161","c00009","i00160",2020-02-29,"ETKQW",10,1,0,30,90,900,900,2020-02-29,"r00065",2020-03-07,"s00151"
"162","c00009","i00161",2020-02-29,"SLNEL",22,0,0,35,105,2310,2310,2020-03-27,"r00117",2020-03-07,"s00152"
"163","c00003","i00163",2020-02-29,"JQWPP",15,0,0,24,72,1080,1080,2020-04-02,"r00132",2020-03-11,"s00165"
"164","c00006","i00164",2020-02-29,"QWBPM",16,1,0,33,66,1056,1056,2020-02-29,"r00066",2020-03-16,"s00180"
"165","c00007","i00167",2020-03-01,"GEXDT",17,0,0,42,42,714,714,2020-05-03,"r00205",2020-03-09,"s00160"
"166","c00003","i00165",2020-03-01,"GEXDT",16,1,0,27,81,1296,1296,2020-03-01,"r00069",2020-03-18,"s00185"
"167","c00006","i00166",2020-03-01,"ZUBSA",15,0,0,36,108,1620,1620,2020-05-16,"r00236",2020-04-09,"s00249"
"168","c00010","i00170",2020-03-03,"JRVPC",14,0,0,30,90,1260,1260,2020-08-29,"r00499",2020-03-06,"s00148"
"169","c00009","i00168",2020-03-03,"ETKQW",10,0,0,34,68,680,680,2020-05-06,"r00210",2020-03-08,"s00155"
"170","c00004","i00169",2020-03-03,"GEXDT",14,1,0,27,27,378,378,2020-03-03,"r00071",2020-03-10,"s00162"
"171","c00007","i00171",2020-03-04,"TQLMI",12,0,0,35,105,1260,1260,2020-05-18,"r00242",2020-03-05,"s00145"
"172","c00010","i00172",2020-03-04,"JRVPC",20,0,0,36,36,720,720,2020-04-10,"r00151",2020-03-29,"s00215"
"173","c00009","i00174",2020-03-05,"TQLMI",12,0,0,33,66,792,792,2020-04-12,"r00156",2020-03-07,"s00153"
"174","c00005","i00173",2020-03-05,"WBOEC",15,0,0,24,72,1080,1080,2020-03-29,"r00120",2020-03-10,"s00163"
"175","c00007","i00175",2020-03-06,"WBOEC",16,1,0,27,81,1296,1296,2020-03-06,"r00076",2020-03-08,"s00156"
"176","c00009","i00176",2020-03-06,"GEXDT",14,0,0,36,108,1512,1512,2020-03-17,"r00093",2020-03-10,"s00164"
"177","c00009","i00178",2020-03-07,"SSBIT",15,0,0,34,68,1020,1020,2020-04-04,"r00140",2020-03-12,"s00168"
"178","c00007","i00177",2020-03-07,"JRVPC",16,0,0,42,42,672,672,2020-04-04,"r00139",2020-03-26,"s00207"
"180","c00005","i00185",2020-03-08,"WBOEC",18,0,0,27,81,1458,1458,2020-06-01,"r00275",2020-03-09,"s00161"
"181","c00004","i00180",2020-03-08,"SSBIT",21,0,0,30,90,1890,1890,2020-03-28,"r00119",2020-03-12,"s00169"
"182","c00003","i00182",2020-03-08,"WBOEC",17,1,0,36,36,612,612,2020-03-08,"r00079",2020-03-13,"s00170"
"183","c00006","i00181",2020-03-08,"SSBIT",16,0,0,35,105,1680,1680,2020-06-06,"r00292",2020-03-17,"s00183"
"184","c00009","i00183",2020-03-08,"WBOEC",18,0,0,24,72,1296,1296,2020-03-19,"r00098",2020-03-20,"s00188"
"185","c00008","i00184",2020-03-08,"QWBPM",16,0,0,33,66,1056,1056,2020-07-07,"r00373",2020-03-27,"s00209"
"186","c00005","i00186",2020-03-10,"GEXDT",10,0,0,36,108,1080,1080,2020-05-11,"r00222",2020-03-11,"s00166"
"187","c00005","i00188",2020-03-10,"ZUBSA",12,0,0,34,68,816,816,2020-04-11,"r00153",2020-03-16,"s00181"
"188","c00004","i00187",2020-03-10,"QWBPM",16,1,0,42,42,672,672,2020-03-10,"r00082",2020-04-10,"s00252"
"189","c00007","i00189",2020-03-11,"JRVPC",28,0,0,27,27,756,756,2020-03-20,"r00103",2020-03-13,"s00171"
"190","c00009","i00190",2020-03-11,"GEXDT",15,0,0,30,90,1350,1350,2020-05-08,"r00215",2020-03-29,"s00216"
"191","c00007","i00191",2020-03-12,"ZUBSA",15,0,0,35,105,1575,1575,2020-07-14,"r00388",2020-03-14,"s00175"
"192","c00008","i00192",2020-03-13,"SSBIT",11,0,0,36,36,396,396,2020-06-12,"r00308",2020-03-13,"s00172"
"193","c00006","i00193",2020-03-13,"ZUBSA",9,0,0,24,72,648,648,2020-03-27,"r00118",2020-03-15,"s00176"
"194","c00004","i00198",2020-03-13,"WBOEC",13,0,0,34,68,884,884,2020-05-27,"r00261",2020-03-15,"s00177"
"195","c00004","i00194",2020-03-13,"JQWPP",20,0,0,33,66,1320,1320,2020-06-30,"r00349",2020-03-15,"s00178"
"196","c00006","i00195",2020-03-13,"TQLMI",12,0,0,27,81,972,972,2020-03-21,"r00104",2020-03-17,"s00184"
"197","c00008","i00197",2020-03-13,"GEXDT",14,1,0,42,42,588,588,2020-03-13,"r00086",2020-03-23,"s00200"
"198","c00003","i00196",2020-03-13,"TQLMI",15,1,0,36,108,1620,1620,2020-03-13,"r00085",2020-04-09,"s00250"
"199","c00007","i00199",2020-03-14,"JRVPC",11,1,0,27,27,297,297,2020-03-14,"r00089",2020-03-16,"s00182"
"200","c00008","i00200",2020-03-14,"JRVPC",16,0,0,30,90,1440,1440,2020-06-17,"r00322",2020-03-21,"s00192"
"201","c00009","i00201",2020-03-15,"ZUBSA",14,0,0,35,105,1470,1470,2020-05-30,"r00270",2020-03-19,"s00186"
"202","c00009","i00203",2020-03-15,"SSBIT",16,0,0,24,72,1152,1152,2020-05-04,"r00207",2020-03-22,"s00194"
"203","c00005","i00202",2020-03-15,"GEXDT",13,0,0,36,36,468,468,2020-04-28,"r00194",2020-03-28,"s00212"
"204","c00006","i00204",2020-03-16,"JRVPC",10,0,0,33,66,660,660,2020-07-04,"r00363",2020-03-22,"s00195"
"205","c00005","i00206",2020-03-17,"SSBIT",16,0,0,36,108,1728,1728,2020-05-01,"r00198",2020-03-20,"s00189"
"206","c00007","i00205",2020-03-17,"WBOEC",19,0,0,27,81,1539,1539,2020-07-16,"r00392",2020-03-20,"s00190"
"207","c00008","i00207",2020-03-18,"JRVPC",18,1,0,42,42,756,756,2020-03-18,"r00095",2020-03-24,"s00202"
"208","c00008","i00208",2020-03-18,"SSBIT",17,0,0,34,68,1156,1156,2020-05-22,"r00249",2020-03-26,"s00208"
"209","c00009","i00210",2020-03-18,"JQWPP",12,0,0,30,90,1080,1080,2020-07-06,"r00368",2020-03-31,"s00221"
"210","c00009","i00209",2020-03-18,"ZUBSA",13,0,0,27,27,351,351,2020-03-30,"r00124",2020-04-03,"s00232"
"211","c00005","i00212",2020-03-19,"ZUBSA",23,1,0,36,36,828,828,2020-03-19,"r00099",2020-03-19,"s00187"
"212","c00009","i00217",2020-03-19,"SLNEL",11,0,0,42,42,462,462,2020-04-02,"r00133",2020-03-22,"s00196"
"213","c00007","i00211",2020-03-19,"TQLMI",14,0,0,35,105,1470,1470,2020-04-28,"r00195",2020-03-22,"s00197"
"214","c00007","i00214",2020-03-19,"JQWPP",14,0,0,33,66,924,924,2020-08-23,"r00485",2020-03-22,"s00198"
"215","c00009","i00218",2020-03-19,"SSBIT",11,0,0,34,68,748,748,2020-10-02,"r00594",2020-03-22,"s00199"
"216","c00006","i00213",2020-03-19,"QWBPM",13,1,0,24,72,936,936,2020-03-19,"r00100",2020-03-23,"s00201"
"218","c00005","i00215",2020-03-19,"GEXDT",15,0,1,27,81,1215,1215,2020-03-30,"r00125",2020-03-30,"s00217"
"219","c00006","i00219",2020-03-20,"SSBIT",14,0,0,27,27,378,378,2020-05-14,"r00231",2020-03-20,"s00191"
"220","c00007","i00220",2020-03-20,"JQWPP",23,0,0,30,90,2070,2070,2020-05-01,"r00199",2020-04-17,"s00265"
"221","c00007","i00221",2020-03-20,"TQLMI",18,0,0,35,105,1890,1890,2020-04-21,"r00170",2020-04-19,"s00271"
"222","c00005","i00224",2020-03-21,"SSBIT",15,1,0,33,66,990,990,2020-03-21,"r00105",2020-03-24,"s00204"
