"","customer_no","invoice_no","invoice_date","sku","sales_count","sales_return","unit_cost","sales_unit_price","collection_no","collection_date","collection_amount","shipper_no","shipper_date"
"45","c00005","i00212",2020-03-19,"ZUBSA",23,0,36,36,"r00099",2020-03-19,828,"s00187",2020-03-19
"46","c00006","i00213",2020-03-19,"QWBPM",13,0,24,72,"r00100",2020-03-19,936,"s00201",2020-03-23
"47","c00004","i00216",2020-03-19,"JQWPP",11,0,36,108,"r00101",2020-03-19,1188,"s00203",2020-03-24
"48","c00005","i00224",2020-03-21,"SSBIT",15,0,33,66,"r00105",2020-03-21,990,"s00204",2020-03-24
"49","c00007","i00227",2020-03-22,"GEXDT",19,0,42,42,"r00107",2020-03-22,798,"s00206",2020-03-24
"50","c00007","i00228",2020-03-23,"ETKQW",17,0,34,68,"r00110",2020-03-23,1156,"s00210",2020-03-27
"51","c00004","i00233",2020-03-25,"ZUBSA",16,0,24,72,"r00113",2020-03-25,1152,"s00211",2020-03-27
"52","c00005","i00235",2020-03-26,"ZUBSA",13,0,27,81,"r00114",2020-03-26,1053,"s00214",2020-03-28
"53","c00005","i00243",2020-03-29,"GEXDT",15,0,24,72,"r00121",2020-03-29,1080,"s00229",2020-04-02
"54","c00010","i00250",2020-03-31,"WBOEC",20,0,30,90,"r00127",2020-03-31,1800,"s00230",2020-04-02
"55","c00008","i00265",2020-04-05,"GEXDT",19,0,27,81,"r00142",2020-04-05,1539,"s00247",2020-04-07
"56","c00009","i00274",2020-04-08,"TQLMI",10,0,33,66,"r00147",2020-04-08,660,"s00258",2020-04-14
"57","c00008","i00271",2020-04-08,"QWBPM",17,0,35,105,"r00146",2020-04-08,1785,"s00325",2020-05-07
"58","c00005","i00276",2020-04-10,"SLNEL",18,0,36,108,"r00152",2020-04-10,1944,"s00289",2020-04-23
"59","c00008","i00280",2020-04-11,"SSBIT",10,0,30,90,"r00154",2020-04-11,900,"s00340",2020-05-11
"60","c00009","i00287",2020-04-14,"JRVPC",15,0,42,42,"r00160",2020-04-14,630,"s00260",2020-04-14
"61","c00004","i00295",2020-04-16,"SSBIT",11,0,27,81,"r00163",2020-04-16,891,"s00282",2020-04-21
"62","c00003","i00301",2020-04-18,"GEXDT",20,1,35,105,"r00164",2020-04-18,2100,"s00338",2020-05-10
"63","c00004","i00308",2020-04-20,"ETKQW",15,0,34,68,"r00169",2020-04-20,1020,"s00285",2020-04-21
"64","c00004","i00307",2020-04-20,"SSBIT",16,0,42,42,"r00168",2020-04-20,672,"s00302",2020-04-28
"65","c00008","i00311",2020-04-21,"SSBIT",15,0,35,105,"r00172",2020-04-21,1575,"s00288",2020-04-22
"66","c00004","i00326",2020-04-27,"ZUBSA",18,0,36,108,"r00192",2020-04-27,1944,"s00347",2020-05-14
"67","c00005","i00345",2020-05-05,"JQWPP",14,0,27,81,"r00208",2020-05-05,1134,"s00322",2020-05-05
"68","c00010","i00350",2020-05-07,"GEXDT",14,1,30,90,"r00212",2020-05-07,1260,"s00402",2020-06-03
"69","c00006","i00366",2020-05-12,"ETKQW",15,0,36,108,"r00228",2020-05-12,1620,"s00362",2020-05-20
"70","c00005","i00367",2020-05-13,"JQWPP",14,0,42,42,"r00230",2020-05-13,588,"s00351",2020-05-14
"71","c00004","i00370",2020-05-14,"ETKQW",10,0,30,90,"r00233",2020-05-14,900,"s00403",2020-06-03
"72","c00001","i00391",2020-05-21,"JRVPC",17,0,35,105,"r00247",2020-05-21,1785,"s00370",2020-05-23
"73","c00005","i00394",2020-05-22,"GEXDT",16,0,33,66,"r00250",2020-05-22,1056,"s00381",2020-05-27
"74","c00005","i00404",2020-05-25,"SSBIT",11,0,33,66,"r00256",2020-05-25,726,"s00418",2020-06-08
"75","c00004","i00418",2020-05-29,"JQWPP",12,0,34,68,"r00269",2020-05-29,816,"s00399",2020-06-01
"76","c00004","i00419",2020-05-30,"QWBPM",15,0,27,27,"r00273",2020-05-30,405,"s00395",2020-05-31
"77","c00003","i00424",2020-05-31,"TQLMI",10,0,33,66,"r00274",2020-05-31,660,"s00446",2020-06-18
"78","c00008","i00428",2020-06-01,"QWBPM",13,0,34,68,"r00281",2020-06-01,884,"s00422",2020-06-08
"79","c00009","i00434",2020-06-05,"JQWPP",12,0,33,66,"r00291",2020-06-05,792,"s00450",2020-06-21
"80","c00004","i00446",2020-06-11,"GEXDT",12,0,36,108,"r00307",2020-06-11,1296,"s00435",2020-06-13
"81","c00007","i00449",2020-06-12,"JRVPC",12,0,27,27,"r00310",2020-06-12,324,"s00443",2020-06-17
"82","c00007","i00462",2020-06-16,"GEXDT",17,0,36,36,"r00321",2020-06-16,612,"s00456",2020-06-22
"83","c00004","i00466",2020-06-18,"JRVPC",17,0,36,108,"r00326",2020-06-18,1836,"s00471",2020-06-28
"84","c00007","i00474",2020-06-21,"JQWPP",10,0,33,66,"r00330",2020-06-21,660,"s00500",2020-07-10
"85","c00006","i00483",2020-06-24,"GEXDT",15,0,24,72,"r00340",2020-06-24,1080,"s00541",2020-07-28
"86","c00005","i00492",2020-06-28,"QWBPM",15,0,36,36,"r00346",2020-06-28,540,"s00489",2020-07-05
"87","c00008","i00495",2020-06-29,"JQWPP",22,0,27,81,"r00348",2020-06-29,1782,"s00557",2020-08-04
"88","c00003","i00499",2020-07-01,"ZUBSA",16,0,27,27,"r00355",2020-07-01,432,"s00483",2020-07-01
"89","c00004","i00507",2020-07-03,"GEXDT",14,0,42,42,"r00362",2020-07-03,588,"s00512",2020-07-16
"90","c00003","i00510",2020-07-04,"GEXDT",16,0,30,90,"r00365",2020-07-04,1440,"s00527",2020-07-23
"91","c00004","i00509",2020-07-04,"ETKQW",14,0,27,27,"r00364",2020-07-04,378,"s00537",2020-07-27
"92","c00007","i00525",2020-07-11,"SLNEL",13,0,27,81,"r00384",2020-07-11,1053,"s00506",2020-07-12
"93","c00007","i00528",2020-07-12,"QWBPM",19,0,34,68,"r00386",2020-07-12,1292,"s00533",2020-07-26
"94","c00008","i00533",2020-07-14,"QWBPM",11,0,24,72,"r00390",2020-07-14,792,"s00521",2020-07-19
"95","c00007","i00532",2020-07-14,"SLNEL",10,1,36,36,"r00389",2020-07-14,360,"s00726",2020-10-05
"96","c00005","i00546",2020-07-19,"ETKQW",26,0,36,108,"r00399",2020-07-19,2808,"s00524",2020-07-20
"97","c00007","i00545",2020-07-19,"QWBPM",19,0,27,81,"r00398",2020-07-19,1539,"s00551",2020-08-01
"98","c00010","i00564",2020-07-28,"ZUBSA",9,0,33,66,"r00421",2020-07-28,594,"s00549",2020-07-30
"99","c00008","i00567",2020-07-28,"ETKQW",17,0,42,42,"r00422",2020-07-28,714,"s00567",2020-08-07
"100","c00004","i00583",2020-08-05,"TQLMI",14,0,24,72,"r00438",2020-08-05,1008,"s00573",2020-08-09
"101","c00007","i00593",2020-08-08,"ZUBSA",14,0,24,72,"r00444",2020-08-08,1008,"s00574",2020-08-09
"102","c00008","i00595",2020-08-10,"WBOEC",11,0,27,81,"r00448",2020-08-10,891,"s00590",2020-08-15
"103","c00008","i00596",2020-08-10,"SSBIT",18,0,36,108,"r00449",2020-08-10,1944,"s00595",2020-08-16
"104","c00009","i00599",2020-08-11,"GEXDT",14,1,27,27,"r00451",2020-08-11,378,"s00617",2020-08-27
"105","c00007","i00602",2020-08-12,"TQLMI",7,0,36,36,"r00456",2020-08-12,252,"s00583",2020-08-12
"106","c00009","i00603",2020-08-12,"ZUBSA",14,1,24,72,"r00457",2020-08-12,1008,"s00587",2020-08-14
"107","c00007","i00604",2020-08-13,"JQWPP",19,0,33,66,"r00461",2020-08-13,1254,"s00592",2020-08-15
"108","c00007","i00621",2020-08-18,"ETKQW",13,0,35,105,"r00476",2020-08-18,1365,"s00627",2020-08-30
"109","c00005","i00620",2020-08-18,"JRVPC",14,0,30,90,"r00475",2020-08-18,1260,"s00629",2020-08-31
"110","c00007","i00635",2020-08-24,"JQWPP",18,0,27,81,"r00489",2020-08-24,1458,"s00624",2020-08-29
"111","c00010","i00636",2020-08-24,"TQLMI",17,1,36,108,"r00490",2020-08-24,1836,"s00636",2020-09-02
"112","c00005","i00648",2020-08-27,"TQLMI",11,0,34,68,"r00494",2020-08-27,748,"s00698",2020-09-26
"113","c00006","i00655",2020-08-29,"SSBIT",18,0,27,81,"r00501",2020-08-29,1458,"s00634",2020-09-01
"114","c00007","i00659",2020-08-30,"QWBPM",12,0,27,27,"r00503",2020-08-30,324,"s00668",2020-09-14
"115","c00007","i00661",2020-08-31,"JRVPC",13,0,35,105,"r00504",2020-08-31,1365,"s00660",2020-09-09
"116","c00008","i00682",2020-09-07,"QWBPM",10,0,36,36,"r00525",2020-09-07,360,"s00658",2020-09-08
"117","c00008","i00680",2020-09-07,"ETKQW",11,0,30,90,"r00524",2020-09-07,990,"s00677",2020-09-16
"118","c00007","i00688",2020-09-11,"TQLMI",15,0,34,68,"r00534",2020-09-11,1020,"s00673",2020-09-15
"119","c00005","i00697",2020-09-15,"GEXDT",14,0,42,42,"r00548",2020-09-15,588,"s00683",2020-09-21
"120","c00004","i00696",2020-09-15,"JQWPP",10,0,36,108,"r00547",2020-09-15,1080,"s00712",2020-09-30
"121","c00010","i00694",2020-09-15,"ZUBSA",12,0,33,66,"r00545",2020-09-15,792,"s00721",2020-10-04
"122","c00001","i00695",2020-09-15,"ETKQW",18,0,27,81,"r00546",2020-09-15,1458,"s00728",2020-10-05
"123","c00008","i00698",2020-09-15,"SLNEL",20,0,34,68,"r00549",2020-09-15,1360,"s00733",2020-10-08
"124","c00003","i00705",2020-09-18,"JQWPP",8,0,27,81,"r00562",2020-09-18,648,"s00700",2020-09-26
"125","c00009","i00720",2020-09-23,"ZUBSA",14,0,30,90,"r00571",2020-09-23,1260,"s00702",2020-09-27
"126","c00006","i00721",2020-09-23,"ETKQW",19,0,35,105,"r00572",2020-09-23,1995,"s00716",2020-10-02
"127","c00003","i00725",2020-09-25,"ETKQW",14,0,27,81,"r00579",2020-09-25,1134,"s00706",2020-09-28
"128","c00005","i00733",2020-09-29,"ZUBSA",19,0,24,72,"r00588",2020-09-29,1368,"s00722",2020-10-04
"129","c00008","i00734",2020-09-29,"ETKQW",16,0,33,66,"r00589",2020-09-29,1056,"s00734",2020-10-08
"130","c00009","i00743",2020-10-03,"ZUBSA",15,0,24,72,"r00600",2020-10-03,1080,"s00732",2020-10-07
"131","c00009","i00742",2020-10-03,"JQWPP",14,0,36,36,"r00599",2020-10-03,504,"s00745",2020-10-13
"132","c00003","i00752",2020-10-05,"ETKQW",7,0,36,36,"r00604",2020-10-05,252,"s00847",2020-11-17
"133","c00005","i00754",2020-10-06,"ETKQW",18,0,33,66,"r00606",2020-10-06,1188,"s00740",2020-10-10
"134","c00003","i00757",2020-10-06,"GEXDT",20,0,42,42,"r00607",2020-10-06,840,"s00742",2020-10-11
"135","c00007","i00764",2020-10-07,"ZUBSA",18,0,33,66,"r00609",2020-10-07,1188,"s00737",2020-10-09
"136","c00003","i00771",2020-10-09,"JRVPC",19,0,35,105,"r00612",2020-10-09,1995,"s00749",2020-10-13
"137","c00004","i00772",2020-10-09,"QWBPM",18,1,36,36,"r00613",2020-10-09,648,"s00752",2020-10-14
"138","c00009","i00783",2020-10-12,"JQWPP",7,0,24,72,"r00621",2020-10-12,504,"s00759",2020-10-16
"139","c00005","i00784",2020-10-13,"WBOEC",27,0,33,66,"r00624",2020-10-13,1782,"s00770",2020-10-21
"140","c00006","i00785",2020-10-14,"TQLMI",12,0,27,81,"r00628",2020-10-14,972,"s00763",2020-10-18
"141","c00007","i00788",2020-10-17,"GEXDT",13,0,34,68,"r00634",2020-10-17,884,"s00764",2020-10-18
"142","c00009","i00800",2020-10-19,"GEXDT",6,0,30,90,"r00638",2020-10-19,540,"s00858",2020-11-20
"143","c00007","i00813",2020-10-24,"SSBIT",16,0,24,72,"r00646",2020-10-24,1152,"s00811",2020-11-02
"144","c00009","i00816",2020-10-25,"JQWPP",12,0,36,108,"r00653",2020-10-25,1296,"s00801",2020-10-31
"145","c00004","i00819",2020-10-26,"JQWPP",16,1,27,27,"r00660",2020-10-26,432,"s00802",2020-10-31
"146","c00005","i00817",2020-10-26,"SSBIT",16,0,42,42,"r00659",2020-10-26,672,"s00831",2020-11-09
"147","c00008","i00833",2020-10-31,"SLNEL",9,0,24,72,"r00668",2020-10-31,648,"s00812",2020-11-02
"148","c00005","i00834",2020-10-31,"QWBPM",22,1,33,66,"r00669",2020-10-31,1452,"s00838",2020-11-13
"149","c00009","i00839",2020-11-04,"ZUBSA",8,1,27,27,"r00680",2020-11-04,216,"s00821",2020-11-05
"150","c00007","i00840",2020-11-04,"TQLMI",17,0,30,90,"r00681",2020-11-04,1530,"s00822",2020-11-05
"151","c00005","i00841",2020-11-05,"ETKQW",9,0,35,105,"r00685",2020-11-05,945,"s00836",2020-11-12
"152","c00005","i00843",2020-11-05,"QWBPM",21,0,24,72,"r00686",2020-11-05,1512,"s00844",2020-11-16
"153","c00010","i00849",2020-11-08,"WBOEC",18,0,27,27,"r00692",2020-11-08,486,"s00845",2020-11-16
"154","c00004","i00867",2020-11-16,"SLNEL",11,0,42,42,"r00710",2020-11-16,462,"s00851",2020-11-18
"155","c00010","i00865",2020-11-16,"JRVPC",15,0,27,81,"r00709",2020-11-16,1215,"s00864",2020-11-23
"156","c00005","i00869",2020-11-16,"GEXDT",14,0,27,27,"r00711",2020-11-16,378,"s00891",2020-12-03
"157","c00004","i00874",2020-11-18,"WBOEC",10,0,33,66,"r00716",2020-11-18,660,"s00859",2020-11-20
"158","c00009","i00881",2020-11-21,"TQLMI",19,0,35,105,"r00725",2020-11-21,1995,"s00863",2020-11-22
"159","c00003","i00888",2020-11-22,"ETKQW",13,0,34,68,"r00731",2020-11-22,884,"s00869",2020-11-25
"160","c00004","i00886",2020-11-22,"TQLMI",25,0,36,108,"r00730",2020-11-22,2700,"s00880",2020-11-29
"161","c00007","i00882",2020-11-22,"GEXDT",9,0,36,36,"r00729",2020-11-22,324,"s00885",2020-11-30
"162","c00005","i00891",2020-11-24,"SLNEL",14,0,35,105,"r00736",2020-11-24,1470,"s00874",2020-11-25
"163","c00005","i00901",2020-11-27,"ETKQW",20,0,35,105,"r00746",2020-11-27,2100,"s00889",2020-12-02
"164","c00009","i00909",2020-11-30,"JRVPC",16,0,27,27,"r00753",2020-11-30,432,"s00886",2020-11-30
"165","c00005","i00904",2020-11-30,"SSBIT",14,0,33,66,"r00752",2020-11-30,924,"s00931",2020-12-17
"166","c00009","i00910",2020-12-02,"JRVPC",13,0,30,90,"r00758",2020-12-02,1170,"s00892",2020-12-03
"167","c00008","i00915",2020-12-03,"TQLMI",14,0,27,81,"r00760",2020-12-03,1134,"s00958",2020-12-27
"168","c00004","i00924",2020-12-06,"GEXDT",21,0,33,66,"r00766",2020-12-06,1386,"s00905",2020-12-08
"169","c00010","i00947",2020-12-14,"JQWPP",16,0,42,42,"r00786",2020-12-14,672,"s00936",2020-12-18
"170","c00007","i00951",2020-12-15,"JRVPC",5,0,35,105,"r00789",2020-12-15,525,"s00928",2020-12-16
"171","c00008","i00970",2020-12-21,"JQWPP",12,0,30,90,"r00804",2020-12-21,1080,"s00954",2020-12-24
"172","c00007","i00976",2020-12-24,"JRVPC",12,1,36,108,"r00811",2020-12-24,1296,"s00970",2020-12-31
"173","c00005","i00985",2020-12-28,"JQWPP",16,1,27,81,"r00822",2020-12-28,1296,"s00975",2021-01-02
"174","c00009","i00995",2020-12-30,"ZUBSA",13,0,27,81,"r00828",2020-12-30,1053,"s00984",2021-01-05
"175","c00008","i00993",2020-12-30,"TQLMI",19,0,24,72,"r00826",2020-12-30,1368,"s00987",2021-01-08
"176","c00007","i00994",2020-12-30,"WBOEC",21,0,33,66,"r00827",2020-12-30,1386,"s00991",2021-01-12
"177","c00006","i00991",2020-12-30,"JQWPP",13,0,35,105,"r00825",2020-12-30,1365,"s00995",2021-01-16
